incident_date,route,ccil,narrative,found_location,location_name,latitude,longitude,postcode
2020-02-11,Southern (Sussex),CCIL 2092991 ,"At 1349, the drivers of 1H35, Govia Thameslink Railway, 1314 Littlehampton – Haywards Heath, and 1N18, Govia Thameslink Railway, 1332 Brighton – Southampton, both reported a trespasser walking lineside between Shoreham-by-Sea and Southwick. The driver of 1N18 subsequently reported that the person had laid down in the four foot ahead of the train. An emergency switch off was carried out at 1408 of the Up and Down lines between Portslade and Lancing due to the proximity of the person to the conductor rail. The BT Police (ref. 320) attended site at 1422 and removed the person from the track at 1443. All personnel were reported clear of the track and current recharged at 1448.",Shoreham-by-Sea,Shoreham-by-Sea,50.83442192,-0.271709718,BN43 5WX
2020-02-11,Eastern (Anglia),CCIL 2092779 ,"At 0727, 2A06, Greater Anglia, 0724 Manningtree – Harwich Town, formed by unit 360115, comprising four coaches in all, overran Mistley station by a coach length, returning to the station with permission. The driver stated that the overrun was due to poor railhead conditions. The driver was fit to continue,",Eastern (Anglia),,,,
2020-02-11,Eastern (North & East),CCIL 2093008 ,"At 1429, 2J65, TransPennine Express, 1349 Huddersfield – Leeds, formed by unit 185110, comprising three coaches in all, overran Cottingley station by two coach lengths, returning to the station with permission. The driver stated that the overrun was due to forgetting the booked stop. The driver was fit to continue.",Eastern (North & East),,,,
2020-02-11,North West and Central (C),CCIL 2093162 ,"At 1924, 1G55, Chiltern, 1847 London Marylebone – Birmingham Snow Hill, formed by units 168219, 172104 & 172103, comprising seven coaches in all, overran Haddenham & Thame Parkway station by seven coach lengths. The driver stated that the overrun was due to them forgetting to stop. The driver was fit to continue to Banbury, where they were relieved of duty.",North West and Central (C),,,,
2020-02-11,Eastern (East Coast),CCIL 2092568 ,"Fault No. 787314 / With reference to an item detailed in this section of yesterday’s report regarding the broken rail at Ranskill Loop: By 0237, the new rail had been installed and welding commenced, with testing completed by 0435, allowing the possession to be given up and normal signalling to resume.",Ranskill,Ranskill,53.383178,-1.006865,N22 8LD
2020-02-11,Wales and Western (Western),CCIL 2093169 ,"At 1945, 2D92, Great Western Railway, 1815 Warminster – Bristol Parkway, formed by unit 166212, comprising three coaches in all, overran Stapleton Road station by ½ a coach length. The train did not return to the station. The driver stated that the overrun was due to a lapse in concentration. The driver was fit to continue.",Wales and Western (Western),,,,
2020-02-11,Scotland,CCIL 2092995 ,"Fault No. 349496 / At 1339, a momentary power failure in the Hunterston area caused all signals to revert to red, as the back- up power supply came on. 1T13, ScotRail, 1248 Glasgow Central – Largs passed GPH525 signal by 10 yards. The driver was fit to continue when the circumstances were explained.",Scotland,,,,
2020-02-11,Eastern (North & East),CCIL 2092694 ,"Fault No. 787329 / At 0447, the Shift Signalling Manager at Leeds Sub ROC reported that No.1364 points on the Up and Down Leeds line at Church Fenton North Junction had failed with no Normal detection. Services were diverted via Castleford and Milford where possible. The Mobile Operations Manager and S&T staff were on site at 0530. The Mobile Operations Manager advised at 0543 that a power supply fault was affecting Nos.1364 and 1365 points. A faulty battery charger was identified with a replacement sourced from Leeds, arriving on site at 0830 then fitted and tested by 0920, allowing normal signalling to resume.",Church Fenton,Church Fenton,53.82633993,-1.227441339,LS24 9RA
2020-02-11,Southern (Wessex),CCIL 2092962 ,"Fault No. 463542 / At 1254, P’Way staff working on No.5 Ground Frame points at Wilton Junction reported that they were unable to restore the points. The points were secured at 1307, with trains being talked past protecting signals. S&T staff were on site by 1332. Investigations into the failure continued until S&T staff identified a Normal position panel indication lamp that had blown, the lamp was replaced to restore normal signalling from 1715.",Wilton,Wilton,51.08529,-1.85827,SP2 0AN
2020-02-11,Southern (Wessex),CCIL 2093031 ,"Fault No. 463554 / At 1504, the driver of 7V07, Freightliner, 1341 Chichester – Merehead Quarry, reported that E737 signal on the Down Slow line at Southampton Central had reverted to red as the train approached. The driver was unable to stop and passed the signal at red. There was no apparent reason for the reversion. The driver was fit to continue.",Southampton Central,Southampton Central,50.90743864,-1.4136024740000002,SO15 1AL
2020-02-11,North West and Central (C),CCIL 2093230 ,"Fault No. 881777 / At 2228 the driver of 2H81, Chiltern, 2201 Gerrards Cross – London Marylebone, reported that ME50 signal on the Up Main line at Sudbury and Harrow Road station had reverted from green to red as the train approached. The driver was unable to stop and passed the signal at red. There was no apparent reason for the reversion, S&T and West Midlands control centre undertook an investigation. The driver was fit to continue.",Sudbury and Harrow Road,Sudbury and Harrow Road,51.55449378,-0.31592624199999997,HA0 2HA
2020-02-11,North West and Central (WCMLS),CCIL 2092993 ,"Fault No. 881739 / At 1350, Birmingham New Street PSB advised axle counters ‘CBUH’ and ‘CBUJ’ both failed on the Up Coventry line at Birmingham International North Junction. Up direction services were diverted via Solihull and the only route available on the Up Coventry line was via platform 4 at Birmingham International, with services authorised past CB4112 signal at red. S&T staff arrived on site at 1434 and were granted a Line Blockage at 1456, later advising that the axle counter heads needed replacing. Another Line Blockage was taken, and S&T advised they had replaced the axle counter heads at 1715. Once testing was completed by 1743 during another Line Blockage, the aspect restrictions were removed by a passing service at 1747, allowing normal signalling to resume.",Birmingham International,Birmingham International,52.45081461,-1.725863394,B40 1PA
2020-02-11,Wales and Western (Western),CCIL 2092833 ,"At 0848, the driver of 2Y25 TfL Rail, 0822 Heathrow Terminal 4 – London Paddington reported an ATP brake activation whilst crossing from the Up relief to Up Main line at Southall West Junction. At 0859 the driver stated that they had not exceeded the line speed and the ATP beacon on the Up Relief line had incorrectly caused the ATP intervention. After experiencing difficulty releasing the brakes the train went forward at 0909 to London Paddington, where the unit was taken out of service and sent as ECS to Old Oak Common depot for examination. TfL Rail reported at 1153 that the ATP activation was likely to have been caused by driver error.",Southall,Southall,51.50596158,-0.37861308299999996,UB2 4AA
2020-02-11,Eastern (Anglia),CCIL 2092849 ,"At 0928, the driver of 2H15, Greater Anglia, 0800 Ely – London Liverpool Street, formed by unit 317337, reported from Harlow Mill station that the train brakes would not release due to a loss of main reservoir pressure. The driver examined the unit and declared the train a failure due to a defective compressor. 1B27, Greater Anglia, 0900 Stansted Airport – London Liverpool Street, was trapped in rear but could not be used to assist, being formed by unit 379028. With assistance from the front precluded by Harlow Town Ground Frame being out of use, this resulted in the need to return 2S17, Greater Anglia, 0913 Bishops Stortford – London Liverpool Street, to Bishops Stortford and clear the Up line for 1B27 to also move in the wrong direction to Bishops Stortford and allow 2S17 to assist the failed train from the rear. 2S17 commenced the wrong direction movement at 1007 and 1B27 commenced the wrong-direction movement at 1027. The assisting unit departed Bishops Stortford at 1055 and attached to the rear of the failed train at 1112.  2H15 was assisted forward at ECS, clearing the line at 1125.",Eastern (Anglia),,,,
2020-02-11,Eastern (North & East),CCIL 2092888 ,"At 1018, the driver of 1A20, London North Eastern Railway, 0945 Leeds – London King's Cross, formed by set BN10, advised that they were having brake issues on the Up line between South Elmsall and Adwick, and were struggling to travel faster than 4 mph. A block to traffic was imposed for traffic with Leeds Sub ROC. At 1107, 1A20 came to a stand at Adwick, in response the Thunderbird rescue unit was mobilised from Doncaster. After coupling to the front of 1A20, the Thunderbird took the service into Doncaster at 1203, where the train terminated before running as ECS to Bounds Green Depot.",South Elmsall,South Elmsall,53.59462052,-1.284860698,WF9 2HP
2020-02-11,Scotland,CCIL 2092998 ,"At 1353, the driver of 1M98, TransPennine Express, 1308 Glasgow Central – Manchester Airport, formed by unit 350403, reported that the train had stopped out of course on the Up Main approaching Abington, between Carstairs and Beattock, with all power lost on the unit. The driver was unable to overcome the fault and the unit was declared a failure at 1422. 1S56 TransPennine Express 1207 Manchester Airport – Edinburgh was terminated at Lockerbie at 1445 and the unit used to assist, attaching to the rear of the failed train at 1539. 1M98 was assisted into Abington Up Loop, clearing the line at 1555. At 1614, after the backlog of trains had been cleared, 1M98 departed Abington for Carlisle, terminating on arrival at 1715, 167 mins late.",Carstairs,Carstairs,55.69103438,-3.668466894,ML11 8PR
2020-02-11,Scotland,CCIL 2091252 ,"Fault No. 349295 / At 0800 (Sun), track circuit 724 on the Up line at Winchburgh Junction failed. The driver of a passing service advised at 0845 (Sun) that the track was flooded over a length of 150 yards, but the water was not above the railhead. P’Way staff arrived on site and advised the track was fit for linespeed. Services were authorised past EL622 signal at red. By 1937 (Sun) the floodwater had receded, and the track circuit cleared, allowing normal signalling to resume. At 1930 (Mon) Edinburgh SC advised the track circuit had failed again. S&T and P’Way staff arrived on site and advised the track had flooded again and services were again authorised past EL622 signal at red. At 2214 (Mon) P’Way reported that the water level had dropped to the foot of the rail but had not further pumps available. Services continued to be authorised past EL622 signal at red throughout Tuesday and at 1600 an additional pump was installed in an adjacent field to divert water away from the railway. At 2150 following the track circuit remaining clear for the passage of three services normal signalling resumed.",Winchburgh,Winchburgh,55.973889,-3.492222,EH52 6PY
2020-02-11,Wales and Western (Western),CCIL 2092023 ,"With reference to the item in this section of yesterday’s report regarding OLE damage at Theale; Staff on site were unable to complete all OLE repairs within the possession time, the Up and Down Westbury lines were handed back at 0618 with a Block To Electric Traction imposed. Some services between Reading and Newbury (& vice versa) were cancelled with a bus replacement operating between Bedwyn and Newbury and ticket acceptance arranged with Reading Buses between Newbury and Reading. Work to complete the repairs to the OLE was ongoing at the close of this Report.",Newbury,Newbury,51.39764427,-1.322862459,RG14 5DG
2020-02-11,Scotland,CCIL 2092352 ,"Fault No. 349419 / With reference to an item detailed in this section of yesterday’s Report, regarding a landslip between Thornhill and Holywood: at 0627 it was reported that the line was closed with services terminated / stated at Kilmarnock. At 1128 the option was explored to run services utilising single line working (SLW) over the Up Main line, due to the time expired since the initial incident line proving was required, this was undertaken during daylight on Tuesday, with no new issues identified. The Down Main line remained closed with rectification works expected to take up to three weeks and the Up Main line to open with a 20mph speed and SLW in place.",Kilmarnock,Kilmarnock,55.61210574,-4.498670613,KA1 2AF
2020-02-11,Scotland,CCIL 2093170 ,"At 1730, the driver of 6S45, GB Railfreight, 0625 North Blyth Alcan – Fort William Alcan, hauled by locomotive 66736 reported experiencing adhesion issues between Ardlui and Crianlarich on the West Highland single line, with speed fluctuating between 5 and 20mph. At 1950 the driver of 6S45 reported additional adhesion issues and had come to a stand at Rannoch viaduct, GB Railfreight advised that 1B01, Serco Caledonian Sleeper Limited, 1950 Fort William – Edinburgh Waverley had departed Fort William but was hauled by a single class 73 locomotive. An additional West Coast Railways locomotive was stabled at Fort William, regrettably West Coast Railways were unable to resource a train crew. At 2050 the driver of 6S45 declared the train a failure after again coming to a stand at Cruach snow shed, the decision was made for 1B01 on arrival at Tulloch to detach the locomotive and forward to assist 6S45. The driver of the assisting locomotive reported at 2211 that they had come to a stand at Corrour due to a snow drift in the platform, the locomotive returned to Tullock and after reattaching to the train returned to Fort William. Wednesday morning services were cancelled, and road transport provided. Due to the remote location resources were sort to assist the driver of 6S45, this was ongoing at the close of this report.",Fort William,Fort William,56.82042348,-5.106134421,PH33 6TQ
2020-02-11,Eastern (EM),CCIL 2092853 ,"At 0929, 6E42, Direct Rail Services, 0715 Stud Farm – Doncaster Up Decoy, activated Thurmaston Up/Down Slow line WILD with axle 17 LHS wheel flat, 508 kN, level 4 alarm. The train was stopped and the driver advised to proceed at 10 mph to Toton Yard, where the vehicle, 7059921138, as per consist, was taken out of traffic.",Eastern (EM),,,,
2020-02-11,Southern (Sussex),CCIL 2093026 ,"At 1450, the driver of 9O44, Govia Thameslink Railway, 1418 Sutton – St Albans City formed by unit 700036, reported that the train was at a stand on the Up Portsmouth line at Streatham Junction with a ballast bag wrapped around the shoe gear. A Line Blockage was granted to the driver to allow them to inspect the shoe gear, the driver confirmed at 1509 that the bag was tightly wrapped around the shoegear. A Mobile Operations Manager was on site by 1522. A traction current isolation was taken at 1544. The bag was removed from the shoegear and the Line Blockage was given up. The traction current was recharged with 9O44 on the move at 1557.",Streatham,Streatham,51.42584586,-0.132325497,SW16 6HP
2020-02-11,Eastern (Anglia),CCIL 2093048 ,"Fault No. 305242 / At 1550, it was reported that there was a bin bag hanging below the contact wire on the Up line at Stoke Newington, the line was blocked. A Mobile Operations Manager was on site by 1632 and by 1637 they had authorised the line to be reopened at caution. The line was reopened without restriction at 1655 after the Mobile Operations Manager had observed a service through the section. Significant reactionary delay was attributed to the incident.",Stoke Newington,Stoke Newington,51.5652387,-0.072881156,N16 6YA
2020-02-11,Eastern (EM),CCIL 2093209 ,"At 2128, the driver of 2S33, East Midlands Railway, 2051 Nottingham – Boston, reported an open door on unit 156912 on departure from Aslockton station. The service was terminated at Grantham and the unit was returned ECS to Nottingham for wrong side failure testing. No passenger incidents were reported. RAIB were notified via N1 form 20/013.",Grantham,Grantham,52.90649078,-0.642452874,NG31 6BT
2020-02-12,North West and Central (C),CCIL 2093399 ,"Fault No. 881809 / At 0655 the driver of 6G66, GB Railfreight, 0454 Bourne End – Bescot Engineers Sidings, reported an AWS Fault Code 7, nothing received at a warning, for the 35mph PSR on the Down Arley line at Whitacre Junction. Locomotive 66720. Arrangements were made for S&T staff to attend following the end of services. GB Railfreight arranged a remote download from the locomotive and reported that the AWS was working correctly apart from the PSR. S&T staff arrived on site at 0055 and were undertaking testing at the close of this Report.",Whitacre,Whitacre,52.52,-1.6795,B46 2BY
2020-02-12,Eastern (North & East),CCIL 2093655 ,"Fault No. 787570 / At 1703, the signaller at Brigg reported that locomotive 0Z67, Colas, 1330 Doncaster West Yard – Derby RTC formed by locomotive 67027, had failed to operate track circuits ‘576’, ‘578’, ‘580’ and ‘586’ on the Cleethorpes Single line in the Down direction. The locomotive had previously correctly operated the track circuits in the section in both the Up and Down direction. The signaller at Gainsborough was requested to stop the service and request that the driver check the wheels for contamination. The driver reported at 1743 that no contamination was found. S&T staff were mobilised to site to undertake wrong side failure testing, the results of which were outstanding as this Report closed.",Brigg,Brigg,53.54916351,-0.48611936,DN20 8HX
2020-02-12,Eastern (North & East),CCIL 2093655 ,"Fault No. 787570 / At 1703, the signaller at Brigg reported that locomotive 0Z67, Colas, 1330 Doncaster West Yard – Derby RTC formed by locomotive 67027, had failed to operate track circuits ‘576’, ‘578’, ‘580’ and ‘586’ on the Cleethorpes Single line in the Down direction. The locomotive had previously correctly operated the track circuits in the section in both the Up and Down direction. The signaller at Gainsborough was requested to stop the service and request that the driver check the wheels for contamination. The driver reported at 1743 that no contamination was found. S&T staff were mobilised to site to undertake wrong side failure testing, the results of which were outstanding as this Report closed.",Brigg,Brigg,53.550028000000005,-0.48056099999999996,N20 9EZ
2020-02-12,Southern (Wessex),CCIL 2093650 ,"Fault No. 463667 / At 1639 1I20, LUL District Line – Wimbledon, Upminster – Wimbledon, Trainset 20, passed W367 signal on the Westbound line District line between Southfields and Wimbledon Park at red by four metres. When questioned, the driver stated a loss of concentration (group 2 cause). After consultation with LUL, the driver was judged fit to continue and was met on arrival at Wimbledon.",Southfields,Southfields,51.44488331,-0.206609386,SW18 5RJ
2020-02-12,Eastern (North & East),CCIL 2093788 ,"At 2204, GB Railfreight advised that hopper wagon HYA7069570211 on 6D73, GB Railfreight, 1840 Rylstone Tilcon – Hunslet Tilcon had derailed within Hunslet Yard. The incident was not on Network Rail infrastructure and was managed to conclusion by GB Railfreight.",Eastern (North & East),,,,
2020-02-12,Southern (Sussex),CCIL 2093533 ,"Fault No. 159228 / 1985597 / 1985598 / At 1145 the Shift Signaller Manager at Three Bridges ASC reported that a slow speed collision had occurred in platform 4 at Haywards Heath, during the booked unit attachment involving 1H25, Govia Thameslink Railway, 1044 Littlehampton – London Victoria (unit 377452) and 1F25, Govia Thameslink Railway, 1018 Ore – Haywards Heath (377113). 1H25 was at a stand in platform 4 and 1F25 failed to reduce speed for the attachment, with the two trains colliding at slow speed and becoming coupled. There were no reported injuries to passengers or staff. The driver on 1F25 was relieved of duty and ‘for cause’ screened. The driver of 1F25 made an allegation of poor braking performance on the unit. RAIB were advised by the TOC and did not attend. Following fitter’s attention, the units departed to depot at 1400. A Mobile Operations Manager and P’ Way staff attended to examine the infrastructure, with the inspection completed at 1437.",Three Bridges ASC,Three Bridges ASC,51.11691722,-0.16118305800000002,RH10 1LY
2020-02-12,Southern (Kent),CCIL 2093690 ,"At 1812 the driver of 2C58, Southeastern, 1753 Dartford – London Charing Cross formed by units 466024, 465167 & 465018 comprising 10 coaches in all, brought the train to a stand at the eight car marker board in the platform at Falconwood and released all doors on the train. Upon realising the error, all doors were re-secured. There were no passenger incidents reported. It was ascertained that the driver had also stopped at the incorrect stopping point at Barnehurst, Bexleyheath and Welling. No passenger incidents were reported at any station, with the train terminated at Falconwood.",Barnehurst,Barnehurst,51.46484925,0.160876915,DA7 6HQ
2020-02-12,Eastern (Anglia),CCIL 2093747 ,"At 1812 the driver of 1F02, Greater Anglia, 2038 London Liverpool Street – Colchester Town formed by units 321312, 321345 & 321319 comprising 12 coaches in all, brought the train to a stand at the eight car marker board in the platform at Stratford and released all doors on the train. Upon realising the error, all doors were re-secured. There were no passenger incidents reported. The service departed Stratford at 2117, 32 minutes late, and was terminated at Colchester.",Colchester,Colchester,51.90061619,0.89347015,CO1 1XD
2020-02-12,Eastern (Anglia),CCIL 2093747 ,"At 2140 the driver of 1A98, Greater Anglia, 2102 London Liverpool Street – Harwich International formed by units 321440, 321336 & 321429 comprising 12 coaches in all, brought the train to a stand at the eight car marker board in platform 2 at Colchester and released all doors on the train. Upon realising the error, all doors were re-secured. There were no passenger incidents reported. The driver was relieved of duty on site, with the train taken forward by a relief driver at 2220, 47 minutes late.",Colchester,Colchester,51.90061619,0.89347015,CO1 1XD
2020-02-12,Southern (Kent),CCIL 2093345 & 2092648 ,"Fault No.463463. / Early morning services from Hastings incurred significant delay due to S&T staff requiring additional time whilst they worked on a red earth fault on the AWS magnet for BJ444 signal on the Up Hastings line. The signaller had granted S&T staff a Line Blockage after possession WON 46 Supplement item H had been given up at 0453, without recourse to the Route Control. S&T staff were instructed give up their Line Blockage with the signal restricted to single yellow pending further access after the morning peak.",Southern (Kent),,,,
2020-02-12,Eastern (North & East),CCIL 2093513 ,"At 1104, the driver of 5Z35, Northern, 1051 Sheffield – Doncaster West Yard, reported that the train had struck a person on the Down Pontefract line between Bolton-upon-Dearne and Goldthorpe. The Down and Up Pontefract lines were blocked. Emergency services and Network Rail staff attended at 1122. Services were diverted via Doncaster and Mexborough. The BT Police (ref. 176) reported at 1156 that having obtained a statement from the driver, they had deemed the incident as non-suspicious. Both lines were reopened from 1239. Service recovery involved diverting via Doncaster and Mexborough until the train service had been fully recovered. At 1230, Sheffield Off Track staff reported nothing found amiss following their fencing checks in the area.",Bolton,Bolton,53.57415749,-2.42582971,BL2 1BE
2020-02-12,Eastern (EM),CCIL 2093810 ,"At 2355, the driver of 1D81, East Midlands Railway, 2200 London St Pancras – Nottingham reported that they may have struck a person who was dangling their legs off the platform on the Down Slow line at Sileby station. A Mobile Operations Manager and the Local Operations Manager were dispatched, the BT Police (ref. 713) were advised and attended. At 0021, it was advised that the person was on platform 2 with an injured foot. Paramedics were on site treating the person, who was conveyed to hospital at 0033. The driver of 1D81 was willing to take the train as far as Loughborough where they were relieved.",Sileby,Sileby,52.73102158,-1.10966224,LE12 7RN
2020-02-12,North West and Central (North West),CCIL 2093429 ,"At 0755, the driver of 2J22, Northern, 0649 Clitheroe – Rochdale, reported a near miss with a trespasser on the Single line between Hall i’ th’ Wood and Bolton. 2N51, Northern, 0718 Rochdale – Clitheroe was cautioned and reported at 0815 that there was no sign of the trespasser, therefore allowing normal train running to resume. A Mobile Operations Manager and the BT Police (ref. 95) checked the area and confirmed no issues with the boundary fencing.",North West and Central (North West),,,,
2020-02-12,Wales and Western (Wales),CCIL 2093555 ,"At 1227 the driver of 2E14, Transport for Wales, 1056 Carmarthen – Pembroke Dock, reported a near miss at Beavers Hill Open Crossing, between Manorbier and Lamphey, with a road vehicle which traversed the crossing as the train approached. The driver was shaken by the incident and was relieved of duty at Pembroke Dock. A Mobile Operations Manager attended and at 1545 confirmed the crossing in order. The BT Police (ref. 228) were advised.",Pembroke Dock,Pembroke Dock,51.69391548,-4.93807661,SA72 6HN
2020-02-12,Southern (Wessex),CCIL 2093653 ,"At 1600 1W66, South Western Railway, 1520 Weymouth – London Waterloo, formed by units 444024 & 444018, comprising 10 coaches in all, overran Hamworthy station by ½ a coach, with passengers alighting from the doors accommodated in the platform. The driver stated that the overrun was due to the trainee driver not stopping at the correct point. The driver was fit to continue.",Southern (Wessex),,,,
2020-02-12,Eastern (North & East),CCIL 2093404 ,"Fault No. 787469 / At 0712, the Sheffield Sub-ROC Shift Signalling Manager reported that they were unable to obtain Normal setting on No. 2062 points at Bradley Wood Junction between Mirfield and Brighouse. A Mobile Operations Manager was on site at 0740 and by 0803 had secured the points in the Normal position without detection. were secured. At 0847, the points were unsecured after S&T staff had replaced a faulty relay and placed the fault in order.",Mirfield,Mirfield,53.67159426,-1.691785436,WF14 8NL
2020-02-12,North West and Central (C),CCIL 2093613 ,"Fault No. 881908 / At 1435 the West Midlands Signalling Centre (Telford panel) signaller reported a loss of signalling on the Salop lines between Shifnal and Cosford. A block to services from Wales was imposed at 1436, with the Shift Signaller Manager at Birmingham New Street PSB requested to hold all Shrewsbury services from 1444. The West Midlands Signalling Centre control centre technician advised at 1445 that a signalling system failure in a relay room at Cosford had caused a complete loss of signalling. They further advised that distribution staff were working at Cosford powering up the uninterrupted power supply (UPS). After restarting the UPS, the signalling in the area failed. Some of the signalling returned but various axle counters remained in a failed state. S&T staff and a Mobile Operations Manager were mobilised to site. Emergency special working (ESW) was implemented on the Up Wellington line from 1628 and on the Down Wellington line from 1647, between MJ323 signal at Bilbrook and MJ343 signal at Shifnal station. Due to number of units at Shrewsbury, Transport for Wales agreed at 1709, for some services to be cancelled and the units shunted into the sidings. At 1804 S&T staff advised that they were awaiting a margin to reset the axle counters on the Down Wellington line, but at 1820 they reported that this had been unsuccessful. At 1925 it was advised that the CPU on the Up and Down Wellington lines had been restored, and at 1940 it was reported that the axle counters on the Up line had been reset. At 2004 ESW was withdrawn on the Up Wellington line and at 2017 on the Down Wellington line. One axle counter remained failed on the Down line and this was reset at 2140 allowing normal signalling to resume.",Birmingham New Street,Birmingham New Street,52.47819419,-1.898360826,B2 4QA
2020-02-12,North West and Central (North West),CCIL 2093479 ,"At 0940, Northern Trains reported that 2A97, Northern, 0827 Liverpool Lime Street – Crewe was at a stand at Mauldeth Road station due to a VCB fault on unit 331018. The driver attempted to perform a reset, however, this was unsuccessful and the train was declared a failure at 1006. An assisting unit, running as 1Z99, was identified at Crewe and arrived at Manchester Airport at 1030. 1Z99 departed Manchester Airport at 1045 performing a wrong direction movement, arriving on to the front of 2A97 at 1100. The combined train was on the move at 1122 as 2A94, Northern, 0827 Liverpool Lime Street – Crewe, running express to Manchester Airport where the service was terminated.",Manchester Airport,Manchester Airport,53.36505845,-2.272981546,M90 3RR
2020-02-12,Eastern (East Coast),CCIL 2093557 ,"At 1227, 1D13, London North Eastern Railway, 1203 London King's Cross – Leeds formed by units 801109",Eastern (East Coast),,,,
