incident_date,route,ccil,narrative,found_location,latitude,longitude,postcode
2020-01-11,Eastern (Anglia),CCIL 2076295 ,"At 1252, the driver of 2D27, Arriva Rail London, 1231 Cheshunt – London Liverpool Street, reported a near miss on the Up Southbury line at Silver Street with a person standing in the cess. The driver was fit to continue. Subsequent services were cautioned with the Mobile Operations Manager sent to site. The caution was removed at 1308 after the area was reported to be clear. The BT Police (ref. 230) were advised. A Mobile Operations Manager attended confirming no person present.",Silver Street,51.61523438,-0.072641642,N18 2UE
2020-01-11,Eastern (Anglia),CCIL 2076301 ,"At 1308, the driver of 2D32, c2c, 1253 London Fenchurch Street – Shoeburyness, reported a near miss at West Ham with a person who jumped onto the track to retrieve an item, returning to the platform as the train approached. The person was then seen to leave the station. The driver was fit to continue. The BT Police (ref. 236) were advised. A Mobile Operations Manager attended and confirmed the area clear.",West Ham,51.52857648,0.005875472,E15 3BN
2020-01-11,Southern (Sussex),CCIL 2076482 ,"At 2302, a member of Network Rail staff reported that there was a person standing on a bridge parapet Country side of Sydenham station. The driver of 9J74, Govia Thameslink Railway, 2155 Horsham – Finsbury Park that had been cautioned, stopped short of the bridge advising it was unsafe to pass. In response, all lines were blocked at 2304 with multiple trains stranded between stations, as detailed in section 07 of this report. The BT Police (ref. 594) reported as on site. The Selhurst Mobile Operations Manager, appointed RIO, was on site at 2306 with Land Sheriffs requested to site. Train running resumed at 2320, after it was advised that the person had been apprehended and taken into the care of attending ambulance staff. Some services were terminated at New Cross Gate to aid service recovery.",New Cross Gate,51.47531127,-0.040384664,SE14 6AR
2020-01-11,Southern (Sussex),CCIL 2076356 ,"Fault No. 158336 / At 1550, track circuit ‘QS’ on the Down Fast line in the Salfords area failed, holding T223 signal at danger. S&T staff and the Mobile Operations Manager were sent to site. Services were cautioned past the signal or diverted to the Down Slow line. The track circuit cleared briefly at 1608 after the passage of a train, before failing again. The signal was keyed to red at 1637. Adjustments were made to cable leads which had become loose, which in turn restored the track circuit. However, due to a competency gap with the attending staff normal signalling could not be authorised. S&T confirmed that staff holding the requisite competencies to sign the failed asset into use would take duty at 1900. S&T staff completed testing by 2135 and the fault was placed in order.",Southern (Sussex),,,
2020-01-11,North West & Central,North West – CCIL 2076404 ,"At 1810, the driver of 1Y64, Northern, 1653 Blackpool North – Manchester Airport formed by unit 331105, reported that they had come to a stand on the Up Bolton line at Ordsall Lane Junction due to a Vacuum Circuit Breaker trip. The driver was able to overcome the fault and was on the move at 1831. However, at 1838 the driver advised that they were unable to depart platform 4 at Manchester Oxford Road as the fault had reoccurred. As such, there was no route towards Manchester Piccadilly from platform 3, with all services signalled via platforms 1 and 2. The driver took guidance from their maintenance department, after which the service was terminated, departing as ECS to Preston at 1920 from the Deansgate end. Significant reactionary delay was ensued.",Manchester Oxford Road,53.47399664,-2.242522887,M1 6FU
2020-01-11,Scotland,CCIL 2076088 ,"Fault No. 347668 / At 0351, the Cumbernauld workstation reported that track circuit ‘7443’ on the Up Perth line at Carmuirs West Junction had failed after the passage of a train. S&T staff were sent to site, confirming at 0416 that there was flooding through the section. A Track Section Manager was on site from 0503, who advised that flood water was clearing into the drains. Linespeed was authorised at 0526. Services continued to be cautioned for the track circuit failure, with some services diverted via the E&G lines to ease congestion. However, by 1253 water levels had risen significantly, with the driver of 5Z25, Serco Caledonian Sleeper, 1003 Aberdeen – Polmadie Depot, reporting that the water was moving and that the drains were overwhelmed. 5Z25 was authorised to continue at 5mph, after which the Up and Down Perth lines were closed. By 1352 water levels had receded to allow both lines to be reopened at line speed, however, the track circuit remained failed and services continued to be cautioned. P’Way staff were on site from 2114, working under Line Blockage arrangements between trains attempting to divert the water from site. Further remedial work was arranged for after service.",Scotland,,,
2020-01-11,Scotland,CCIL 2076090 & 2076097 ,"Fault No. 347670 & 347674 / At 0459, the Balavil Burn flood alarm at Kingussie advised water levels had reached the yellow warning marker, the on call structures engineer was notified as were P’Way staff. At 0545 the alarm advised water level had reached the red warning marker, a block to services was imposed until staff could expect the site, multiple services were trapped. P’Way staff were diverted to site and north bound services were held at Perth. Trapped services were terminated at Aviemore and Kingussie with taxi’s being supplied for passengers, 1S25, Serco Caledonian Sleeper Ltd, 2116 (Fri) London Euston – Inverness was held at Dunkeld. In addition, the line was closed at Gynack Burn from 0624 after water levels had risen following sustained rainfall. The block remained in effect and the structure was examined on a 30 minute basis. At 0701 the P’Way staff arrived on site and advised the water level were still exceeding the red line at Balavil Burn. A bus service was established between Perth at Inverness at 0744 and at 0805 the decision was made to return 1S25 to Perth. Both burns were monitored frequently throughout the day, with structures staff advising that both sites would remain blocked due to the amount of debris on the line that was unsafe to be removed, although water levels had receded to below the yellow line at both burns. The line remained closed until close of service. AMCO Engineers will attend site at 0830 Sunday to carry out an assessment.",Inverness,57.48010225,-4.2231863380000005,IV2 3PY
2020-01-11,Eastern (East Coast),CCIL 2076116 ,"Fault No. 347696 / At 0600, a blanket 80 mph ESR was imposed for all electric traction between Belford Crossovers and the Scottish Border due to high recorded wind speeds. By 1010 the blanket speed was extended to include Newcastle. At 1210, following multiple reports of section MT2 OLE section tripping, the ESR was increased to 50mph for all trains between Newcastle and Belford. Services were cautioned over Beal CCTV level crossing as the signaller was unable to maintain the barriers in the lowered position. Line speed was authorised from 1453 after wind speeds had subsided.",Newcastle,54.96822056,-1.617285496,NE1 5DL
2020-01-11,Scotland,CCIL 2076259 ,"Fault No. 347696 / At 1101, the driver of 1S38, TransPennine Express, 0807 Manchester Airport – Edinburgh Waverley reported flooding at Wamphray GF between Lockerbie and Beattock, that was flowing at sleeper level. In response, the Down and Up West Coast Main lines were blocked to traffic. Three services were trapped in section (See section 07 of this report), with P’Way staff advised and mobilised to site. By 1205 P’Way staff reported that the water that was cascading from adjacent fields was below the rail head. The block to services was lifted and normal signalling resumed at 1209.",Wamphray GF,55.2413,-3.3957,DG10 9NX
2020-01-11,Scotland,CCIL 2073298 & 2076304 ,"Fault No. 347703 & 347704 / At 1254, the Shift Signalling Manager at Edinburgh IECC reported that track circuit ‘698’ & ‘724’ had failed on the Up E&G line at Winchburgh Junction. A following service was utilised to examine the line, reporting standing water at 1316. Services were authorised past affected signals at red, with some services started/terminated at Linlithgow. P’Way staff reported that pumps were not in operation upon their arrival. Pumps were switched on and operational from 1418. At 1605 P’Way undertook a cab ride to examine the line, reporting at 1642 that water levels were below the rail head. Track circuit ‘698’ cleared at 1744, and track circuit ‘724’ cleared at 1813, thus allowing trains to be signalled normally.",Linlithgow,55.97643947,-3.595841381,EH49 7DH
2020-01-11,Southern (Wessex),CCIL 2076416 ,"Fault No. 460792 / At 1839 the driver of 1A62, South Western Railway, 1815 Alton – Woking reported that the train had struck a branch on the Up line approaching Aldershot. Further trains were cautioned with the following driver stating at 1845 that the branch did not affect the passage of trains, with normal signalling resuming. It was subsequently reported by drivers the branch was brushing passing trains. The Woking Mobile Operations Manager was called to attend. At 1916 it was reported by train crew on 2J52, South Western Railway, 1853 Guildford – Farnham, that multiple branches were present over the running lines. An emergency switch off was taken with Eastleigh ECO to allow the offending branches to be removed. At 1945 the driver of 2J52 confirmed branches had been removed from the Down line, however, the Up line was still blocked by a tree branch. The Mobile Operations Manager was on site by 1950. The Up line was made safe for the passage of trains and the traction current recharged from 2023. At 2052 the driver of 1A66, South Western Railway, 1915 Alton – Woking advised the Up line was safe to pass at 5mph. Off Track staff attended and undertook further cutting back of the tree, with the entire specimen removed clear by 2140, and normal signalling being authorised at 2142.",Aldershot,51.24641674,-0.7598604840000001,GU11 1HN
2020-01-11,Scotland’s Railway (Scotland),CCIL 2076401 ,"Fault No. 347718 / At 1814 the Shift Signaller Manager at Edinburgh IECC advised that track circuit No. 727 on the Down E&G line between Winchburgh and Linlithgow had failed, holding EW609 signal to red. S&T were called to attend and drivers authorised to pass EW609 at red. At 1844 the driver of 1R07, ScotRail, 1816 Edinburgh Waverley – Glasgow Queen Street, reported the presence of water at the site but was unsure of the depth. A resulting 5mph ESR was imposed. P’Way site were on site by 2010, advising that water levels were approximately ½ way up the rail and spread over a distance of 100 yards along the four foot. The ESR remained in place, being eased at 2205 after staff on site had been satisfied that water levels had receded. Linespeed was restored at 2252 after water levels continued to dissipate. P’Way staff attended overnight within a planned possession (Sc WON 42 Item 193 refers) to undertake checks and remedial maintenance to pumps located at the site.",Winchburgh,55.973889,-3.492222,EH52 6PY
2020-01-11,Wales and Western (Western),CCIL 2076110 ,"At 0526, Thames Valley SC Bristol TM Workstation reported that 4V37, Freightliner, 2315 (Fri) Felixstowe North FLT – Bristol FLT, was at a stand on the Down Main line at Parson Street waiting acceptance into the Yard, with no shunter on site. Services were diverted via Westbury. The driver did not have route knowledge for any other access. Efforts to locate a replacement shunter were unsuccessful. A Mobile Operations Manager was sent to site to assist in case Single Line Working was required. Freightliner authorised the driver to take control of the Liberty Sidings in the absence of the shunter with the Mobile Operations Manager cutting off the padlock at the sidings entrance to gain access. The train was clear of the running lines by 0839.",Parson Street,51.43353995,-2.608313932,BS3 5PU
2020-01-11,Eastern (Anglia),CCIL 2076192 ,"At 0825 Greater Anglia staff reported that 1K65, Greater Anglia, 0827 Norwich – Stansted Airport, formed by unit 755424, was leaking fuel in platform 6 at Norwich. The unit was taken out of service with another unit utilised to form the service, which departed 22 mins late. A Mobile Operations Manager and fitter were sent to site. The fitter was unable to stem the leak. Spill kits were utilised, and specialist cleaning staff were summoned. There were no water courses or Sites of Scientific Interest in the area. All details were passed to the Environment Agency. At 0959 the fitter reported that the cause was a defective fuel filter. The leak had slowed but could not be fully stopped. By 1111 the leak had been stopped, allowing the unit to be assisted back to Crown Point Depot. It was estimated that several hundred litres of fuel had been lost.",Norwich,52.62717818,1.306828331,NR1 1EF
2020-01-11,Eastern (Anglia),CCIL 2076256 ,"At 1106 the East London Line SCC was evacuated due to a fire alarm activation within the Operations Building Control (OBC). As a result, services between Highbury & Islington – New Cross / New Cross Gate",Highbury & Islington,51.54673995,-0.102076601,N5 1RA
2020-02-07,Eastern (Anglia),CCIL 2090096 ,"Fault No.304918 / At 0144, the SCO:24/7 Duty Manager reported that Balfour Beatty Tamper DR75409 had derailed within engineer’s possession as per AR WON 45, Item 278, various lines including Beccles – Oulton Broad North Junction, Up and Down East Suffolk line blocked 0025 (Mon) – 2359 (Fri), a Network Operations Anglia managed possession. The tamper became derailed by two bogies on No.12A points at Oulton Broad North Junction. There were no injuries reported. BRUFF were requested to attend and gave an ETA of 0530. There was damage to twelve sleepers, 20 chairs and 20 keys that all required replacement. Initial investigations revealed that the rodding from the points had been removed by a member of staff and they had not reapplied the clip, scotch and padlock. Two members of staff, the Engineering Supervisor and their support staff were relieved of duty for ‘for cause’ screening. BRUFF arrived on site at 0545. An Investigating Officer was appointed. The original BRUFF team were out of hours before rerailing had been completed with a replacement team attending, with an ETA of 1200. By 1325 the majority of the track damage had been repaired. Rerailing and track damage was completed by 1625 with the affected tamper removed from site. The points have been secured and will be repaired within the possession.",Oulton Broad North,52.47777986,1.7157297169999999,NR32 3LJ
2020-02-07,Eastern (East Coast),CCIL 2090188 ,"Fault No. 786818 / At 0719, the driver of 5F46, Northern, 0618 Leeds Holbeck Sidings – Goole, reported that they had observed that 6X95, DB Cargo, Scunthorpe – Goole Docks had derailed on the shunt spur within the sidings at Goole Docks. DB Cargo advised at 0737 that the last bogie of the rear wagon, IGA 8046470260 by consist, had derailed. A Mobile Operations Manager arrived on site at 0759 and confirmed at 0840 that the derailment had occurred on NR infrastructure. The cause was due to 6X95 propelling towards and colliding with the buffer stops on the No. 2 Shunt Spur. DB Cargo arranged for the driver of 6X95 to be ‘for cause’ screened. The Wigan BRUFF team were requested to attend, arriving on site at 1437. Work to re- rail the wagon commenced at 1738 and was completed by 1832. The Mobile Operations Manager confirmed that the No. 2 Shunt Spur had been secured out of use pending repairs, and that the Loop had reopened. Traffic for Goole Docks has been suspended until Thursday 13/02/20.",Goole,53.70492908,-0.874218535,DN14 5DD
2020-02-07,Eastern (East Coast,CCIL 2090440 ,"At 1603 Govia Thameslink Railway reported that 9S34, Govia Thameslink Railway, 1338 Brighton – Cambridge formed by unit 700121 comprising 12 coaches, had stopped at the 8 instead of the 12 car marker at Letchworth station. This was reported via a passenger on a helpline to Govia Thameslink Railway. Govia Thameslink Railway checked the CCTV and confirmed the incident. The CCTV did not confirm if the doors off the platform were opened and the driver did not report the incident. No passenger incidents were reported. The information was not known in time to stop the train at a suitable location. The driver was met by a manager upon arrival at Cambridge. GTR informed the signaller, who confirmed they had not been notified. The driver was relieved of duty and ‘for cause’ screened.",Letchworth,51.980721,-0.227677,SG6 3WA
2020-02-07,North West and Central (NW),CCIL 2090049 ,At 0015 (Thu) it was reported that a member of track staff had sustained an injury to their groin area after tripping over old cable at Parton. The staff member was conveyed to hospital and had their injuries assessed. The staff member was discharged from hospital with pain medication.,Parton,54.56990389,-3.5820201239999996,CA28 6PA
2020-02-07,Eastern (EM),CCIL 2090489 ,"At 1745 the driver of 0R58, Rail Operations Group, 1559 Worksop – Leicester, reported a near miss at Pinxton CCTV Level Crossing between Kirby Junction and Ironville Junction with a dog walker using the crossing. The driver sounded their horn and came to a stand after making an emergency braking application one locomotive from the individual. The person was then observed to leave the crossing. The driver was fit to continue. A Mobile Operations Manager attended, reporting at 2144 that all crossing equipment was in order. The BT Police (ref. 458) were advised.",Pinxton,53.085692,-1.313666,G16 6RA
2020-02-07,Southern (Sussex),CCIL 2090500 ,"At 1830 the driver of 2B13, Govia Thameslink Railway, 1809 Epsom Downs – London Victoria, retrospectively reported a near miss on their previous working 2B02, Govia Thameslink Railway, 1700 London Victoria – Epsom Downs at Belmont with a youth that attempted to surf on the side of the train. The person jumped back onto the platform after the driver had shouted at them. The driver was shaken by the incident but was fit to continue. CCTV footage was interrogated which substantiated the drivers report. The EIU confirmed the area clear at 1928.",Belmont,51.34413926,-0.19948720600000008,SM2 6BH
2020-02-07,North West and Central (C),CCIL 2090301 ,"At 1019, the driver of 1S39, CrossCountry, 0627 Plymouth – Glasgow Central, reported a person sitting on the track at Tamworth Viaduct. Two Mobile Operations Managers were requested to site at 1025. Staffordshire Police reported at 1032 that the area was clear, but trains were instructed to run at extreme caution. However, at 1051 West Midlands Signalling Centre reported that the person was now sitting in the six foot refusing to move. In response, all lines were blocked, with some services were diverted via the Cross City line. The BT Police Embedded Inspector (ref. 152), reported at 1117 that the person was the wrong side of the parapet on the viaduct and was threatening to jump onto Amington Road should anyone approach them. A negotiator was requested to site. Staffordshire Police and the BT Police were on site with the person at 1118, with a working at heights team mobilised to site. By 1152, the person had been coaxed down and all personnel were clear of the lines, thus allowing train running to resume.",Tamworth,52.63712963,-1.687269406,B79 7JT
2020-02-07,Wales and Western (Western),CCIL 2090507 ,"At 1907 the driver of 1C22, Great Western Railway, 1632 London Paddington – Taunton, reported a trespasser lineside between Worle Junction and Weston Milton on the Single line. 2U28, Great Western Railway, 1808 Taunton – Cardiff Central was utilised to examine the line, with the driver reporting at 1915 that they had come to a stand on the Single line approaching Worle Junction as the person was in front of the service. Multiple services were trapped, two of which were outside of station (detailed in section 07 of this Report), with the Bristol Mobile Operations Manager, Avon & Somerset Police (ref. 977) and the BT Police (ref. 504) all mobilised to site. The guard of 2U28 remained with the person until response staff arrived on site. By 1940 the person had been apprehended, with trains signalled normally from 1948 after it was confirmed that all personnel were clear of the line.",Worle,51.35803344,-2.909638886,BS22 6WA
2020-02-07,Southern (Kent),CCIL 2090454 ,"At 1600 2U58, Southeastern, 1550 Gravesend – London Victoria, formed by unit 465249 & 465164, comprising eight coaches in all, overran Greenhithe for Blue Water station by half a metre, returning to the station was not authorised. The driver stated that the overrun was due to misjudging the braking distance, with the service terminated and driver relieved of duty on arrival at Dartford.",Dartford,51.44737254,0.219261557,DA1 1BP
2020-02-07,North West and Central (C),CCIL 2090487 ,"At 1743 1W51, Chiltern, 1734 Marylebone – High Wycombe,  formed by units 165002 & 165027, comprising four coaches in all, overran Wembley Stadium station by two coach lengths, returning to the station was not authorised. The driver stated that the overrun was due to misreading the diagram and believed their first stop was Gerrards Cross. The driver was fit to continue.",North West and Central (C),,,
2020-02-07,Southern (Wessex),CCIL 2090263 ,"Fault No. 463041. / At 0905 the signaller at Basingstoke ASC reported a loss of detection on No. 2534A points at Basingstoke, affecting the Up Slow line. A Mobile Operations Manager and S&T staff were sent to site. The fault caused 4O23, GB Railfreight, to be held at BE163 signal in platform 2 at Basingstoke station, with the rear of the train straddling Great Western Junction, preventing movements to/from Reading. Trains were authorised past affected signals at red, with trapped trains worked into platforms. Access was granted to S&T staff to conduct an initial investigation which revealed a defective ECU as the issue. A replacement ECU was sourced from the stores, with the Mobile Operations Manager securing the points, allowing 4O23 to proceed at 0945 which released the Reading route. The ECU was replaced, with trains signalled normally from 1058 after all testing had been completed.",Basingstoke,51.26835654,-1.0872591120000001,RG21 5NB
2020-02-07,North West and Central (C),CCIL 2090420 ,"Fault No. 881110 / At 1515 the driver of 1Y47, Chiltern, 1411 Oxford – Marylebone, reported that ME34 signal on the Up Main line at Neasden South Junction had reverted from green to red as the train approached. The driver was unable to stop and passed the signal at red. There reason for the reversion was due to ME835B points momentarily losing detection. The driver was fit to continue.",North West and Central (C),,,
2020-02-07,Scotland,CCIL 2090150 ,"Fault No. 349169 / At 0330, the Shift Signalling Manager at Edinburgh IECC, reported that track circuit ‘787’ on the Up Branch line in Slateford sidings had failed. S&T were on site at 0420 but were unable to find a fault. At 0617, the Shift Signalling Manager advised that they were unable to clear ES686 signal on the Up Midcalder line at Slateford. A P’Way Section Manager was on site at 0702 and was granted a Line Blockage at 0726 to investigate. A dead short in the track was identified with track circuit ‘787’ still showing failed at 0818. By 1045, the track circuit had gone clear, allowing train running to resume. A defective IBJ was identified and stripped and cleaned, with the fault placed in order at 1427.",Edinburgh,55.95238716,-3.1882219210000002,EH1 1BB
2020-02-07,Eastern (Anglia),CCIL 2090189,"Fault No. 304924 / At 0659 “HAE” axle counter on the Up North London line at Kentish Town failed, holding NL1206 signal at red. Services were authorised past the affected signal and S&T staff were sent to site. Service levels were reduced to ease congestion, with some services running fast to recover lost time. A system reset by the signaller failed to clear the fault. S&T staff replaced the parallel card with a reconditioned card at 0732 but this failed to overcome the fault. A new card was then installed, clearing the fault at 0744.",Kentish Town,51.55003637,-0.139442076,NW5 2AA
2020-02-07,Southern (Sussex),CCIL 2090241 ,Fault No. 159066 / At 0752 the Shift Signaller Manager at the Three Bridges ASC reported that axle counters “MJM” and “MJN” on the Down Arun Valley line at Pulborough had failed. Services were authorised past affected signals at red. A Mobile Operations Manager and S&T staff were sent to site with service levels reduced. At 0944 the Mobile Operations Manager reported finding blue temporary fencing wrapped around the axle counter heads. At 0957 axle counters “MKH” and “MKJ” on the Up Arun Valley line also failed. The temporary fencing was removed and the axle counter cards re-seated by 1023. The Down line was restored at 1044 and the Up line at 1048. The Mobile Operations Manager undertook an inspection of the surrounding area to highlight any potential loose equipment/fencing that may cause an issue in relation to the high winds forecast for the weekend.,Pulborough,50.95734852,-0.5165533760000001,RH20 1AH
2020-02-07,Eastern (East Coast),CCIL 2090448 ,"Fault No. 786891 / At 1625, No.3311 track circuit on the Down Fast line at Hitchin failed holding K713 signal at red. 1D21, London North Eastern Railway, 1603 London King’s Cross – Leeds examined the line from the Down Slow line and reported that K711 signal was also held at red but observed no issues with the related track circuit and services continued to be cautioned. S&T staff were on site at 1659 and were afforded a ten minute Line Blockage of the Down Fast line at 1713. By 1746 S&T staff had identified a burnt out transformer in Location Cabinet 54/35 which required replacing, and a replacement part was sourced. Service revisions were imposed as per Contingency Plan KX QUEBEC ONE BRAVO. By 1840, the faulty transformer had been replaced and the track circuit was placed in order, thus allowing services to be signalled normally.",Hitchin,51.95329,-0.26348,SG4 9UL
2020-02-07,Eastern (EM),CCIL 2090505 ,"Fault No. 153984 / At 1846, ‘134’ track circuit on the Up Moorgate line at Kentish Town failed holding WH420 signal at red. Services were signalled via platform 3 or terminated short of destination where possible to ease congestion, with some services run fast. 9R47, Govia Thameslink Railway, 1740 Bedford – Gatwick Airport was utilised to examine the line, reporting at 1853 nothing amiss, but the track circuit remained in a failed state. A Mobile Operations Manager was on site at 1915 and was afforded a ten minute Line Blockage from 1940, reporting that they could see no obvious issues. The Night turn S&T were on site from 2005, and by 2136 had identified a faulty ETU. Investigations continued overnight at the close of this report.",Kentish Town,51.55003637,-0.139442076,NW5 2AA
2020-02-07,Southern (Sussex),CCIL 2090488 ,"At 1747 the driver of 2K48, Govia Thameslink Railway, 1736 London Victoria – West Croydon formed by units 377328, 377327 & 377457, reported that they had been unable to release the doors on the rear two coaches. The train departed at 1749, 5 minutes late, however similar issues were encountered at Wandsworth Common. In response, the service was terminated on arrival at Balham at 1805, then running ECS to Streatham Hill. Significant reactionary delay ensued.",Wandsworth Common,51.4461876,-0.163383008,SW12 8NL
2020-02-07,North West and Central (WCMLS),CCIL 2090455 ,"Fault No. 881119 / At 1641, a member of P’Way staff reported a possible bank slip near Brandon Viaduct, between Rugby and Coventry at 86m 1189 yards. 9G31, Avanti West Coast, 1603 London Euston – Birmingham New Street was utilised to examine the line, with the driver reporting at 1707 that the Up Coventry line was not fit for the passage of trains, but the Down Coventry was passable at caution. A Mobile Operations Manager and P’Way staff were summoned to site. Service reductions were imposed, with some services diverted via the Trent Valley lines and a shuttle service implemented between Birmingham New Street and Coventry. The Mobile Operations Manager and P’Way staff were on site from 1740. An earthworks engineer advised at 1751, that after reviewing photographs from site, that they were satisfied the Up Coventry line could reopen with a 20 mph ESR, subject to the track geometry being within tolerance. At 1814, the Up Coventry line was reopened with a 20mph ESR in place, with the Down Coventry line authorised for line speed, following P’Way staff inspection. The 20 mph ESR remained in place at the close of this Report with a Watchman appointed. Murphys staff have been summoned to undertake a daylight inspection on Saturday 08/02/20 and will be on site from 0700.",Birmingham New Street,52.47819419,-1.898360826,B2 4QA
2020-02-07,Wales and Western (Western),CCIL 2090417 ,"North West and Central (WCMLS) – – CCIL 2090417 At 1510, 2O80, Great Western Railway, 1453 Worcester Foregate Street – Weymouth, activated Eckington Down Fast line WILD with axle 01 LHS wheel flat, 357kN, level 2 alarm. The train was stopped and the driver advised to proceed at 50mph to destination for RST examination. The vehicle, 58745, as per consist, was taken out of traffic. / Eastern (Anglia) – – CCIL 2090327",Wales and Western (Western),,,
